,review_cleaned
16957,american not exposed character good disappointed. nothing compare. found enjoyment mindless idiot humor american teen movies although slightly similar type humor could not stop laughing. hardly ever laugh loud movie. usually movie funny parts movie funny start finish. disappointment. actually going buy dvd find.
17023,film absolute classic camp. elvira mst k classic. everyone knows story. scientist keeps girlfriend head alive lasagna pan basement cruises town tries find body checking local chicks. finally finds real hourglass body scar faced chick head top. severed head makes friends failed experiment closet conehead comes closet rips assistant remaining good arm not right scientist earlier failure whole place burns down.the movie scared us much kids friend would not go basement year seeing. kids ranked scariest movies time one number four. one scary movies really good original haunting. give movie seven rating tremendous amount entertainment value offers. eerie effect crappy production weird sexual angle scientist looks bodies complete porno sound track scares hell innocent children ridiculous aspects make prime material watching talking laughing. could watch film tonight enjoy would rather go dentist watch chicago again.seven give entertainment value mere luck. film cinema disaster.
8739,absolutely like film lot. not entertaining feast bizarre stunning images! dialog background sounds noises. something completely different original enjoy obscure bizarre ... might like work art. ik looks like film made first camera ever made time strange human like beings live perform bizarre habits. god killed razor gave birth mother earth. mother earth impregnated god semen act fellatio gives birth son flesh bone. follows inhuman acts ritualistic torture rape murder purposes not know ....?
15825,movie quite fair adaptation prosper merime novel. novel merime character don jos navarra north spain historically basque country zone speak basque language. seville andalusia south spain speak spanish andalusian accent way speak basque carmen explains don jos living navarra. believe not anyway book version not critical movie book! note different novel merime opera bizet movie adaptation novel anyway opera don jos still spanish navarra never french. many people keep thinking don jos french? not know guess novel opera french although supposed spanish.the important difference movie novel movie don jos also kills torero lover carmen novel not neither opera. guess wanted keep movie little gore! think movie quite good anyway.
26178,ali g character works brilliantly within confines comedy show movie not work way.do not get wrong funny movie full biting witty dialogue caricatures modern british chav wonderfully well whilst providing viewer hilarious unrealistic story.one problem film script content either fantastically brilliant embarrassing watch. say embarrassing not mean funny embarrassing la office extras rather wish not included final cut. one example inclusion music video film ended tune. whenever watch film stop dvd says end leave that.overall ali g indahouse good film worth watching couple times. script enjoyable extent issues far acting goes. however refinement key word here.ali g better television programme. borat better film.
20933,idea film even knew existed month ago stumbled upon searching films stared dominic monaghan. thought film strange insight mind none sleeper mind may going hours spend awake rest world around asleep interesting film good part played dom ....... believe even though film not buy anywhere well never seen anywhere must see ever get chance really make think people around us not sleep suffer night night not able sleep get hour sleep every night overall interesting film good substance.
40971,rating premise film. acting fine not anyone stood amazing appalling. disturbingly true intelligent people less less children choose none ... whereas dumb ass w supporters procreating like rabbits. though not believe earth actually exist years see mike judge parodied prophet coming life imitating art. world run idiots get worse intelligent free thinking people become minority git er done fans outnumber. proof farce election.but digress. fortunate enough playing city go see. paid dollar. plus popcorn see far worse rubbish date movie napoleon dynamite anyone? . laughs cringes overall entertaining. half brain think movie though funny spot accurate tiny bit uncanny. not surprised movie almost completely unknown fox one distributing would not want sheep see think maybe read book not watch next cheaters ow balls. society not stop dumbing everything bastardisation english language ahem mr. bush really going.
22224,refer malice film noir not likening masterpieces sunset boulevard double indemnity maltese falcon comparing director becker alfred hitchcock stanley kubrick stanley kramer luis bunuel. merely registering protest against darkness pervades movie start finish extent time simply not make going. understand darkness night scenes movie dark even broad daylight reason loss understand. however would not made much difference director becker filmed total darkness.
38536,say remember saw show believe fox gives talk show chance spike right conan years like conan incredibly funny seems grateful show adds humor.the funniest bits spike far idiot paparatzi comedy stoners not high get cfs say. summary show funnier minutes snl hour lets hope talk show gets attention deserves extra half hour money band.
44229,give porn movie points? watched. found hilarious! aliens weird spaceship weird helmets ... god sight. desperate alien women need semen earth.and look? upper bavaria germany. main fun comes europe german speaking countries bavaria seen traditional backward region. actors helpless alien women. well films people unable deal women like american pie series.but film achieved true funny weirdness. constantly wonder came crackpot ideas. looking back years fills one kind nostalgia. never seen film like that.and not mind seeing casual pubic hairs breasts watch. comedy essentially not porn flick.
36672,best mock documentary dog show seen long time. long time. well lets face ever. not part charm? idea actually going trouble make movie mocking documentary event people would find odd first place. even big laughs one would still smirking thought. movie attempts something new scores highly proverbial book. loved dogs!
36893,rigoletto verdi masterpiece full drama emotion powerful memorable music. maestro must rolled grave bawdy travesty work released needless frontal nudity cheap copulating portrayal naive principalled gilda horny ditz. opera certainly adapted cinema look zeferelli magnificent la traviata work superb rigoletto not need cheap gimmicks. might even acceptable dubbed music good mediocre rendering libretto second rate sound quality.
4817,john boorman general hailed major comeback though hard see evidence film. one three films made year famed northern irish criminal martin cahill alongside ordinary decent criminal vicious circles abundance incident style film shot colour released b w scope territories makes absolutely impact goes forever. main character threatens witnesses car bombs doctors causes hundred people lose jobs tries buy sexually abused daughter one gang keep jail nails one snooker table yet still remains popular local legend attractive enough personality wife not approve actually suggest nage trios sister needs charismatic central performance sell character film. not get. instead lumbered may well brendan gleeson worst disinterested performance delivers lines stands right place nothing suggest either local hero inner workings complex character. plus side helps not overglamorize character nothing egotistical thug odds script seems expecting us love antics.there minor section picks interest ira whips local hate campaign against general men painting anti social drug dealers purely cahill not share loot robbery temporary resolution vaguely shot something cahill donning balaclava joining protesters expected find lovably cheeky thrown away. things successful last third pressure mounts army falls apart late really care. adrian dunbar maria doyle kennedy gorgeous angeline ball good work adoring supporting roles jon voight hammy garda beat cop seems american sales moral balance overcompensating gleeson comatose non involvement feels like total misfire. come back zardoz forgiven.
1390,dvd published uk code hrgd cover asin vfc disk ifpi code inner rim.probably straight transfer vhs. much point commenting adult film. one contains minimal plot characters believable. shown united states normal cinemas.i seen pensylvannia way back .as deserves place encyclopedia movies. dvd special features subtitles probably made using vhs tapesource
48386,slasher flick movie actually better lot genre.yes predictable resident nut job goes killing spree people die yada yada yada.however good positives film.first really liked mask nut job wore.it definitely creepy say least possibly unique although not watched every single slasher film ever made also genesis bad due something not seen way finally meets end novel concept far know.i also really liked weapon choice employed mr sicko murders.the murders not graphic genre small concern.the movie not take seriously something slashers suffer from.oddly enough watching movie reminded early friday th films take seriously.there concerns movie.in several scenes killer suddenly bears strong resemblance one horror icons.by mean movements reactions upon shot also way walked.of bigger concern however scene close end mr crazy bears striking resemblance actually complete rip another famous horror titan.and last scenes scumbag looking exactly like st horror icon mentioned.in fact last scene almost complete rip another icon slasher genre. scenes weak unoriginal obviously .by way movie set australia sucker chick aussie accent like heaven.if not might grate you.one great thing movie beautiful kylie minogoue not get attached one non aussie accent courtesy molly ringwald.overall reasons watch not.i enjoyed fun.so give cut may seem high people.
38172,not ed wood movie. angora love stan laurel oliver hardy last silent movie. end era! laurel hardy left real mark silent movie genre movies still popular watched aired regularly present day. shame movie however not among best.the premise movie sounds good good. boys team goat time course leads trouble us hilarious situations watch. however time extremely silly totally unbelievable watch boys comedy stuff goat. jokes movie still work good movie however never gets truly hilarious memorable. comedy story really feels lacking times mostly simple predictable.of course still good fun enough watch fans still slightly disappointing last silent laurel hardy entry.
1122,review extended cut movie.i first watched dragon lord bought dvd many years ago. always liked movie read positive reviews get general idea.that said. always found storyline bit confusing. movie love story. always seemed strange love story end minute fight scene.well extended version longer. old original version begins huge barrel climb rugby like sequence new ending sequence extended version. opening sequence dragon jackie chan hanging around house pretending training reciting whenever father around.other sequenced also shift prolonged extended cut story makes lot sense watch. pacing also better overall works better. feels like love story not leave asking questions ends drastically dramatically regular version does.i suggest everyone hong kong cinema plain jackie chan fanatic get hold extended version watch movie way originally intended. least think intended. else would make rearrange scenes done watching felt like watched completely new jackie chan movie although sequences.
15656,thing remember film used air local ktla tv ch. every christmas season mid late mainly due fact true story took place near christmas eve. always bit disturbing see hell girl goes lone survivor plane crash peruvian jungle. graphic scene young girl pulling leeches infected leg made quite impression young viewer. not quite kind christmas cheer used seeing time. definitely not rankin bass production.
43337,comparison perhaps unfair inevitable. attracted intimacy depth umbrellas slightly horrified discover cut paste musical american style awkward stilted dialogue inexplicable song dance numbers. gene kelly french accent apparently poor dreadful job dubbing substituted remember dubbing almost perfectly pulled umbrellas. translation french subtitled versions well leaves something desired although not attributed demy. film also several self aware moments come wee disconcerting references songs legrand. costumes well tight pants white boots combination freakishly unnatural colors reminds one austin powers film. . .but demy reward viewer allusions umbrellas note instance suitcase carried maxence departure rochefort suitcase carried guy departure cherbourg. also note convenient brunette resolution madeleine umbrellas josette young girls.generally speaking expecting natural feel umbrellas save floating bicycle scene looking similar deeper questions ambiguous endings umbrella script probably pass one b y. looking french version thin american musical quite happy.
7821,definitely needed little work season. virus max logan ames white along ancient super cult. season two however thing kept watching see max logan would ever get rid nasty virus infecting max. good drama season two. course like tv shows something little wrong broadcasting company takes air. seriously hoping third final season. season leaves hanging unless read books max allan collins know happens.dark angel put back air one season even though might cost lot get original actors. since jessica alba carrier sky rocketed show. would case movie complete. like show firefly course fox canceled well.
27995,quick glance premise film would seem indicate another dumb inbred backwood slash fest type sex equals death actors annoying stereotypes actually want die. however jbd delivers considerably more.rather focus bare flesh gore though little sex however flick focuses delivering impending dread mounting tension amidst lovely scenic backdrop. feelings heightened cast realistically likable characters antagonists amoral cardboard definitions evil. oh yeah george kennedy not good thing? liked wrong turn watch see much methodology came.
31989,watched movie probably times. jokes years old every time watch makes fall chair. two finest actor salman khan aamir khan plays lead roles. even aamir khan much better actor got better role smart guy movie salman khan matches sometimes perform even better dumb guy. characters memorable. movie filled hilarious one liners funny situations little silly probably. not try look logic movie. let brain relax time. promise experience remember.
38920,movie ripoff james cain novel postman always rings twice. apparently director producer never bothered pay rights story perhaps fact middle fighting italians wwii might account forgetting consider royalties! despite movie not really italian version hollywood movie. ways lot better ways definitely not.the three central characters movie really pretty ugly people. fact male female lovers bit icky looking. male lead pretty ordinary except profuse body hair particularly back shoulders lady love put frankly unattractive. far cry lana turner john garfield hollywood version. ill fated husband really really obese loves walk around shirtless counterpart american film cecil kellaway definitely better looking probably better looking two italian leads actually. unattractiveness generally reason actually preferred italian film since could not imagine finely coiffed dish like lana turner middle nowhere married kellaway percent sure would dozens better offers! whereas italian wife frankly might not able much better made marriage actually believable.part italian film believability comes blunt way handles sex. sanitized american film tries make believe although turner garfield kill kellaway never actually get around sex! pretty silly totally unrealistic. addition casual sexuality film also pretty casual showing seamy side life lots sweaty people fly strip hanging kitchen table everyone appeared need bath.the movie also pretty fast paced compared long american film. get due brevity not good. film lacks lot style polish american film grainier footage relatively poor orchestration sets. sure ai not pretty film neo realistic like style makes film seem realistic. not make short cuts plot. many plot elements later american version either missing entirely glossed. ending seems lot less interesting american film misses entire human nature dilemma turner garfield turn like rats best part american film .so better film? well lot probably depends. warner brothers film simply polished unrealistic though many like style may dislike watching films subtitles packed great ending. italian film much much realistic crappy ending seemed rushed. neither film exactly great would give nod italian one bit better. bad could not combined best elements films one exceptional film.
7891,rented mistake. thought cursory examination box time travel sci fi story. instead christian story suppose fairly typical example. sold message probably overlook awkwardness plot acting etc. found rather painful. admit bothered rewriting history story. paints sort paradise family values morality character aghast percent marriages end divorce! overlooks unsavory sides highly moral society rigid racial sexual social discrimination widespread instance. one point hero complains clothing store owner things sound not different complaints iranian leaders women clothing styles reported recent wsj .overall thought suppose sort thing like like sort thing certainly wholesome...
18600,looking quo vadis local video store found version looked interesting. wow! amazing! much ken russell kind film quirky stylized artistic course different. nero presented not much evil incarnate wacky unfulfilled emperor would rather circus career. probably wondered earth put position leading empire not much fun fun longed. klause maria bandaur tremendous time role played worth. yes nero persecuted christians vengeance one many. one point one henchmen murmurs one ever understand simply protecting. got right.
37866,disappointed movie. not know much true story eager see play film educate little slice history. powerful true story great actors seemed like surefire combination. well somewhere screenplay failed. scattered movie childhood? love life? disability? speaking ability? passion disabled? sure way incorporate things good story movie not. left cold watching characters unlikable not disabilities personalities. small gripes. heavy handed soundtrack. seventies get already! . phenomenal public speaker not treated snippet even mostly montages?
5865,fairly typical australian movie underdog saves day inspite. guess real reason see pic seen castle dish. still leaves positive feeling end good better hollywood stuff.
27878,not seen many years. acting good began time thought great! another movie misjudged foolish young man. theme started clear felt way.this hollywood seat glamor concept not surprise. condescending concept feel need take shower watching. brief tells us even physically ugly people seem beautiful even feel attractive.dorothy mcguire likable homely heroine. seems filmed wearing minimal make. robert young injured war feels scarred. parents not bear look either. seems faculties part notions disability outmoded.herbert marshall hand blind pianist. character speaks hushed tones omniscient.the best performance given mildred natwick owner title residence. bitter dour not made ice. story much interesting believable mcguire young.
34223,remake successful movie tricky business best remake true classic especially one veritably definitive film director like alfred hitchcock something else. watching version psycho directed gus van sant two things come mind immediately point earth thinking? especially light fact van sant used screenplay joseph stefano taken novel robert bloch hitchcock used. final result underscores finer points art filmmaking first remake retooling original rather copy using new players second shooting color using blood bit graphic little detract impact film. although noble effort van sant ironically end suffers flaw norma bates afflicted mind film divided half hitchcock half van sant. twain though met shall never bound. van sant even working original script would better making film way rather attempting duplicate exactly hitchcock certain scenes. opening shot movie instance especially shower scene arguably one famous scenes history cinema. copying hitchcock shots looking directly shower head one drain using skree! skree! skree! sound effects even homage hitchcock distracted story. factor performance william h. macy private eye arbogast yet another split psyche film. macy terrific actor one best character actors business performance excellent good attitude delivery pure david mamet worked many times seemingly context van sant. film winds triple personality disorder hitchcock van sant mamet. felt like watching house good psycho games. far performances go macy solid come anne heche marion crane good job creating original character escaping trap attempting imitation janet leigh. weak links viggo mortensen sam made marion boyfriend smarmy unappealing made wonder anything first place vince vaughn put delicately possible simply awful norman bates. whole performance actor playing role not convincingly affecting effeminate mannerisms punctuating speech spontaneous bursts maniacal laughter made norman caricature character altogether unbelievable pretentious. gave movie feel reenactment true incident would see television show would entirely keeping sensibility film cut away norman sitting alone parlor shot sober faced peter graves intoning mind set norman bates fateful rainy night marion crane stepped car life supporting cast includes julianne moore lila robert forster dr. simon philip baker hall sheriff al chambers anne haney mrs. chambers chad everett tom cassidy rance howard mr. lowery rita wilson caroline james remar patrolman james legros charlie car dealer. nothing else van sant psycho curiosity goes show good director predominantly excellent cast script proven commodity not necessarily insure success. granted todays era psycho babble american psycho hannibal lecter effectively taken edge character like norman bates somewhat still singular intimacy particular story relationship norman mother victims forever remain inherently disturbing terrifying van sant unable convey sense dread throat clenching fear film. ever movie made earmarked straight video. better still never born. rateone
20818,main problem first vampires movie none characters sympathetic. carpenter learned mistake time used likable vampire hunter charismatic vampire. female vampire una certainly coolest vampire since blade deacon frost. unfortunately good concepts like cool slow motion restaurant scene not carpenter use this?? movie nowhere near good could. expected see strong vampires action least one longer lasting nicely choreographed fight sequence example inside city left somewhat disappointed. los muertos proceeds faster pace predecessor still drags little parts though nowhere near bad vampires. much like vampires however movie climax near end not intense.most may sound like los muertos bad movie definitely not. generally enjoyable ranks among better entries genre. neither unoriginal dracula remake like almost every vampire movie unintelligent action spectacle like blade ii. simply could used bit excitement.i would really like see third installment made carpenter probably not going happen.spoiler warning ending way predictable. una gotten away would made movie quite unusual.
12053,dvd usually sells around dollar. would not pay much dvd known getting regardless pretty good disc. displays knot glory footage concerts ... playing surfacing wait bleed scissors among tracks including spit music video apparently banned mtv.slipknot not know essentially symphony damned nine masked men display total chaos stage machine gun drums squealing guitar vocals tear face leave wanting. never seen slipknot not recommend enough get dvd ... probably ebay amazon get better deal.a short though well made show knot.seven ten.
16399,asked movie throughout film would told great! however left theatre feeling unsatisfied. thinking little believe problem pace ending. feel majority movie moved kind slow ending developed fast. would say ending left disappointed.i thought characters well developed. costner kutcher portrayed roles well. yes! ashton kutcher act! also different relationships characters seemed real. furthermore thought different plot lines well developed. overall good movie would recommend seeing it.in conclusion good characters great plot poorly written edited ending. still go see !! !
34615,one common entries goofs category anachronism. though beginning believe anachronism goofs acceptable even ignored good films found front center rotten films. kiss rotten film reeks anachronism yet watching closely found almost nothing specifically anachronistic.the shots aircraft bookend film certainly place. big engine transport seen title honolulu appears post war c stratofreighter mats colors. combat planes seen taking carrier end douglas skyraiders entered service ww made famous service vietnam.but excepting two pieces film course hairstyles everything else possibly period authentic. feels wrong. admirer stanley donen share birthday. co directed town car chase end police driving ford yet not slightest feeling place ww period film. fact reflected later not anything says supposed ww period film. feels way. based wartime broadway musical based ballet fancy free may based work artist paul cadmus fleet! great film sailors hour pass new york heavy wartime associations merely assumed takes place war yet contemporary cars nothing break spell.the first problem old cary grant. though far old represent navy sbd dive bomber pilot hollywood tradition stars like grant gary cooper lou gehrig jimmy stewart charles lindbergh play younger. role miscast not age. plays operator used call. guy gets things done breaks rules yet remains admired loved. hustler. wheeler dealer. de rigueur character service comedy. grant comic center supposed service comedy contra comedy style.thinking back great grant comic performances like bringing baby arsenic old lace great reactor whose comedy reduced context dignity befuddled puddle inert jelly. kiss expected comic spark plug not. people already exposed type recently comic phil silvers sgt. bilko television. role would perfected later james garner grant not funny appears bully getting way aggressively pushing cary grantness rather cajoling finessing.but thing really stinks place anachronism lead women. echt women suzy parker jayne mansfield. unique decade. marilyn monroe placed continuum carole lombard marie wilson number dumb blonds grace kelly another high class dame think mary astor never could anatomically exaggerated woman films like mansfield. sure ownweater girls e.g. lana turner ww mansfield stretching point. suzy parker model revolutionized model business changed mannequin like poses become first natural girl moved whose personality captured camera see funny face also stanley donen .of course high style seems lot gender mixing wild parties never even hint sex think tv shows bachelor father bob cummings show dinner jacketed men returned wouldates alone. original book not read published war appeared play broadway end war nuances situation must inescapable contemporary readers audiences broken bowdlerized reconstituted dozen years later fatally miscast remains forgotten stain otherwise exemplary careers invention vcr cable television resurrected petrified turkey.so lesson whatever goof ignored great film like citizen kane actually hears charles foster kane say rosebud? tolerated fun dreck like westworld robots given live ammunition first place? absolutely despised rotten film even goofs really non existent.
1030,key scene rodrigo garcia nine lives comes sissy spacek hidden away hotel room carrying affair aiden quinn find nature documentary television point quinn notes contrivance things disparate footage edited one scene predators preys thrown together order capture moment force connections none actually exist. characters nine shorts make film occasionally spill others stories none ever seem really connect. woman preparing violent confrontation abusive father later seen working hospital room another woman preparing mastectomy. man runs old girlfriend supermarket sees life later hosts current wife dinner party unhappy couple. garcia arranges characters front none subsequent stories ever really build came before.garcia first film wonderful overlooked things tell looking also short story structure overlapping characters fewer lot room breathe grow. gimmicky premise nine lives nine stories told single unbroken take real time never allows film build real dramatic tension momentum. also fairly visually ugly movie. interior shots often murky hard watch scenes particularly one girl walks back forth rooms talk uncommunicative parents rendered annoying camera work. given garcia third film respectable history directing television direction film rather surprisingly amateurish. like fellow filmmaker child great writer rebecca miller garcia son gabriel garcia marquez focused writing character aspects films often detriment film making ones.individual scenes touching even affecting. like jason issacs kissing robin wright penn pregnant belly. joe mantegna whispering lovingly wife slips pre surgery sedation. sissy spacek stealing happy moments away life aiden quinn brought back phone call daughter. film unlike things tell looking feels like exercise actual drama. watching people act.
21109,saw movie friend couldnt stop laughing! mean nothing scary movie! funny lines freddy said hilarious! think shoudl not even made new nightmare gone freddy vs. jason. although parts gross like head blowing. elm street film sucked. best besides number. wouldnt recomend movie want good horror. nothing else rent laugh alot.i want see texas chainsaw massacre think would scary. freddy dead final nightmare overall gradeb
32404,watching film thought really glossed errol flynn life! movie really nice eye candy. really got atmosphere hollywood right. costumes great. women looked glamorous men looked handsome debonair.is serious film errol flynn life? nah! fun movie based scandalous stuff life.why critiquing film? film lot promise failed deliver. duncan reagher really good errol flynn. not good looking original made believe flynn not handsome playboy not take seriously man although gifted great talent kind disturbed unhappy inside. flynn love life disaster considering many failed marriages. also lost lot good friends life. also suffered unrequited love elegant olivia dehavilland. last scene film showed errol kind begging olivia stay instead walks away. shown tux looking really empty slowly walking around pool pours drink pool. sad way end film kind fitting everyone knows eventually fell apart alcoholism dissipated lifestyle.this film could much depth could better well written. sure showed scandals never showed errol flynn human center. surprisingly duncan reagher able put emotional depth character errol flynn even though film writing not put depth there.i probably never see film still remember viewing film gosh could much .....! give film.
42454,not particularly care michael jackson. aside pedophile really not like music exceptions songs landmark album thriller. one. like video one first important music videos ever made.this directed john landis best known horror fans director american werewolf london. music video not much music video less short horror film. m.j. date werewolf movie. leave movie attacked horde bloodthirsty zombies michael jackson famous thriller dance.you know actually pretty good song good synthesized beats. beat probably two michael jackson songs tolerate. especially love vincent price cameo narrator. distinctive voice perfect horror themed music video. even not like m.j. music need see video least. way good becoming creepy white woman fake nose.
14165,seen film tv not repeated. strange consider rubbish repeated. usually horror movies source amusement one really scared me.do not read next bit nt seen film yetthe scariest bit townsfolk pursue preacher wife lies almost dead would poisoning. asks hell people anyway. one one give true identities. girl pretending deaf order corrupt seduce says lilith witch loved adam eve.
